"Mysteries of the Middle Ages: The Rise of Feminism, Science and Art from the Cults of Catholic Europe"	Thomas Cahill	3.78	2667	1385095236s/27199	27199.Mysteries_of_the_Middle_Ages

"Blood & Spirits (The Coming Storm, #1)"	Dennis Sharpe	4.14	125	1303528228s/11187932	11187932-blood-spirits

"Charmed and Dangerous: The Rise of the Pretty Committee (The Clique, #0)"	Lisi Harrison	3.89	5319	1344264386s/6384247	6384247-charmed-and-dangerous

"The Raven King (The Raven Cycle, #4)"	Maggie Stiefvater	4.47	7855	1462127928s/17378527	17378527-the-raven-king

Until Forever	Jonahmae Pacala (jonaxx)	4.71	177	1403500539s/22568460	22568460-until-forever

"Covet (The Clann, #2)"	Melissa Darnell	4.14	3898	1344663986s/13548152	13548152-covet

"The Teaching Story, The Dermis Probe and Evenings with Idries Shah"	Idries Shah	4.74	19	1348464093s/450549	450549.The_Teaching_Story_The_Dermis_Probe_and_Evenings_with_Idries_Shah

"A Darkling Plain (The Hungry City Chronicles, #4)"	Philip Reeve	4.31	3336	1172801990s/219110	219110.A_Darkling_Plain

"Allies of the Night (Cirque du Freak, #8)"	Darren Shan	4.2	18899	1266449860s/8966	8966.Allies_of_the_Night

"A Hidden Fire (Elemental Mysteries, #1)"	Elizabeth   Hunter	4.07	16357	1343966679s/12755792	12755792-a-hidden-fire

"One Enchanted Evening (de Piaget, #5; de Piaget/MacLeod, #16)"	Lynn Kurland	4.16	1528	1428541422s/7464272	7464272-one-enchanted-evening

"One Night with Him (One Night with Him, #1)"	K.S.  Smith	3.79	1206	1382708251s/18295753	18295753-one-night-with-him

"Tarnsman of Gor (Gor, #1)"	John Norman	3.4	2730	1388689278s/464685	464685.Tarnsman_of_Gor

"Wanted (Wanted, #1)"	Kelly Elliott	3.98	24556	1354255331s/16152943	16152943-wanted

"On the Soul of a Vampire (On the Soul, #1)"	Krisi Keley	3.84	64	1348996200s/8508126	8508126-on-the-soul-of-a-vampire

"Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer, Adviser to Kings, Ally of Lawrence of Arabia"	Janet Wallach	3.89	2191	1386744057s/16172	16172.Desert_Queen

"Simon's Cat in Kitten Chaos (Simon's Cat, #3)"	Simon Tofield	4.39	879	1327914426s/12324733	12324733-simon-s-cat-in-kitten-chaos

"Twilight & Sunset (Warriors: The New Prophecy, #5 and #6)"	Erin Hunter	4.68	505	0	7796661-twilight-sunset

"Viva Vermont! (Carter House Girls, #4)"	Melody Carlson	3.91	638	1424136752s/4641540	4641540-viva-vermont

"Emily Windsnap and the Siren's Secret (Emily Windsnap, #4)"	Liz Kessler	4.12	3505	1348597665s/6334523	6334523-emily-windsnap-and-the-siren-s-secret

