title	author	avg_rating	ratings	img	url
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.33	433374	1327887381s/10644236	10644236-clockwork-angel
The Pillars of the Earth  (The Pillars of the Earth, #1)	Ken Follett	4.28	433116	1388193707s/5043	5043.The_Pillars_of_the_Earth
The Last Olympian (Percy Jackson and the Olympians, #5)	Rick Riordan	4.49	432187	1412104473s/4556058	4556058-the-last-olympian
El ÃƒÂºltimo hÃƒÂ©roe del Olimpo (Percy Jackson y los dioses del Olimpo, #5)	Rick Riordan	4.49	432187	1317254851s/8267073	8267073-el-ltimo-h-roe-del-olimpo
The Lost Hero (Heroes of Olympus, #1)	Rick Riordan	4.35	431026	1327115627s/11714579	11714579-the-lost-hero
The Lost Hero (The Heroes of Olympus, #1)	Rick Riordan	4.35	431026	1277091656s/7736182	7736182-the-lost-hero
Girl With a Pearl Earring	Tracy Chevalier	3.83	428472	1327197580s/2865	2865.Girl_With_a_Pearl_Earring
Eleonora & Park	Rainbow Rowell	4.14	426494	1413470093s/23382512	23382512-eleonora-park
Eleanor & Park	Rainbow Rowell	4.14	426494	1341952742s/15745753	15745753-eleanor-park
Miss PeregrineÃ¢â‚¬â„¢s Home for Peculiar Children (Miss PeregrineÃ¢â‚¬â„¢s Peculiar Children, #1)	Ransom Riggs	3.83	424361	1391229642s/9460487	9460487-miss-peregrine-s-home-for-peculiar-children
Bayan Peregrine'in Tuhaf Ãƒâ€¡ocuklarÃ„Â± (Miss Peregrine, #1)	Ransom Riggs	3.83	424361	1368792496s/17930465	17930465-bayan-peregrine-in-tuhaf-ocuklar
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris	3.95	416241	1311115565s/301082	301082.Dead_Until_Dark
The Red Tent	Anita Diamant	4.15	414076	1405739117s/4989	4989.The_Red_Tent
The Tipping Point: How Little Things Can Make a Big Difference	Malcolm Gladwell	3.88	413704	1442270711s/2612	2612.The_Tipping_Point
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.07	411397	1429538615s/13497	13497.A_Feast_for_Crows
Deception Point	Dan Brown	3.63	410903	1386924347s/976	976.Deception_Point
Unbroken: A World War II Story of Survival, Resilience, and Redemption	Laura Hillenbrand	4.43	410736	1327861115s/8664353	8664353-unbroken
Uglies (Uglies, #1)	Scott Westerfeld	3.86	410283	1443904172s/24770	24770.Uglies
Rugobe	Scott Westerfeld	3.86	410283	1300186881s/10794492	10794492-rugobe
Beautiful Creatures (Caster Chronicles, #1)	Kami Garcia	3.76	408410	1327873282s/6304335	6304335-beautiful-creatures
American Gods	Neil Gaiman	4.1	408119	1258417001s/4407	4407.American_Gods
Laranja MecÃƒÂ¢nica	Anthony Burgess	3.97	407263	1380132317s/2748046	2748046-laranja-mec-nica
A Clockwork Orange	Anthony Burgess	3.97	407263	1348339306s/227463	227463.A_Clockwork_Orange
Kellopeli appelsiini	Anthony Burgess	3.97	407263	1298403090s/10561315	10561315-kellopeli-appelsiini
The Stand	Stephen King	4.33	405577	1213131305s/149267	149267.The_Stand
Steve Jobs	Walter Isaacson	4.09	404592	1327861368s/11084145	11084145-steve-jobs
Matilda	Roald Dahl	4.27	404510	1388793265s/39988	39988.Matilda
Anna Karenina	Leo Tolstoy	4	404343	1404407203s/820786	820786.Anna_Karenina
Anna Karenina	Leo Tolstoy	4	404342	1320518415s/110913	110913.Anna_Karenina
The Outsider	Albert Camus	3.94	403992	1406846083s/22847522	22847522-the-outsider
The Stranger	Albert Camus	3.94	403992	1349927872s/49552	49552.The_Stranger
Sivullinen	Albert Camus	3.94	403992	1302462883s/3021568	3021568-sivullinen
ÃŽÅ¸ ÃŽÂ¾ÃŽÂ­ÃŽÂ½ÃŽÂ¿Ãâ€š	Albert Camus	3.94	403992	1287810556s/9559392	9559392
Dear John	Nicholas Sparks	4	403425	1397749854s/5526	5526.Dear_John
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick	4.01	402542	1338135967s/8087526	8087526-hush-hush
Vampire Academy	Richelle Mead	4.15	400127	1384022984s/18079710	18079710-vampire-academy
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.15	400127	1381459853s/18660669	18660669-vampire-academy
Blutsschwestern (Vampire Academy, #1)	Richelle Mead	4.15	400127	1359414351s/17302988	17302988-blutsschwestern
The Bell Jar	Sylvia Plath	3.97	396283	1218387348s/6514	6514.The_Bell_Jar
Something Borrowed (Darcy & Rachel, #1)	Emily Giffin	3.81	396017	1305063535s/42156	42156.Something_Borrowed
The Last Song	Nicholas Sparks	4.13	391566	1286549186s/6400090	6400090-the-last-song
The Night Circus	Erin Morgenstern	4.02	391093	1327894371s/11506091	11506091-the-night-circus
The Titan's Curse (Percy Jackson and the Olympians, #3)	Rick Riordan	4.32	389335	1361038385s/561456	561456.The_Titan_s_Curse
Beautiful Disaster (Beautiful, #1)	Jamie McGuire	4.17	386829	1354353281s/15749887	15749887-beautiful-disaster
It	Stephen King	4.14	384604	1431157771s/11252929	11252929-it
Digital Fortress	Dan Brown	3.57	382187	1360095966s/11125	11125.Digital_Fortress
The Lord of the Rings (The Lord of the Rings, #1-3)	J.R.R. Tolkien	4.46	381559	1411114164s/33	33.The_Lord_of_the_Rings
Crime and Punishment	Fyodor Dostoyevsky	4.16	378508	1382846449s/7144	7144.Crime_and_Punishment
Crime and Punishment: A Norton Critical Edition	Fyodor Dostoyevsky	4.16	378508	1348481789s/7137	7137.Crime_and_Punishment
A Christmas Carol	Charles Dickens	4	378074	1451743936s/28430814	28430814-a-christmas-carol
Eine Weihnachtsgeschichte	Charles Dickens	4	378074	1416948574s/1600820	1600820.Eine_Weihnachtsgeschichte
